"TOA5","39106","CR800","39106","CR800.Std.29","CPU:SN588.CR8","1453","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2018-03-26 14:12:10.53",25389,700001,30.49,13.4,64,44.7209,-165,-57.9791,1,7,1.2,279.5,1.984,0.7453483,-0.9663183,3,26,14,15,0,360000
"2018-03-26 14:15:15.14",25390,700002,0,13.39,64,44.7201,-165,-57.9776,1,8,0.9,276.3,0,0.745335,-0.9662934,3,26,14,15,14,460000
"2018-03-26 14:15:16.45",25391,700003,0,13.39,64,44.7198,-165,-57.9774,1,8,0.9,276.2,0,0.74533,-0.9662901,3,26,14,15,15,770000
"2018-03-26 14:15:23.22",25392,700004,129.9,13.39,64,44.7196,-165,-57.9762,1,8,0.9,274.1,8.45,0.7453267,-0.96627,3,26,14,15,22,540000
"2018-03-26 14:15:24.46",25393,700005,129.8,13.39,64,44.7196,-165,-57.9763,1,8,0.9,274,8.44,0.7453267,-0.9662716,3,26,14,15,23,780000
"2018-03-26 14:15:28.6",25394,700006,0,13.39,64,44.7194,-165,-57.9762,1,8,0.9,273.9,0,0.7453233,-0.96627,3,26,14,15,27,920000
"2018-03-26 15:08:28.06",25395,700007,93,12.97,64,44.7706,-165,-58.127,2,11,0.7,269.9,6.053,0.7461766,-0.9687833,3,26,15,8,27,370000
"2018-03-26 15:08:36.57",25396,700008,101.4,12.97,64,44.7709,-165,-58.1275,2,11,0.7,270,6.598,0.7461817,-0.9687917,3,26,15,8,35,890000
"2018-03-26 15:08:44.89",25397,700009,121.1,12.97,64,44.7715,-165,-58.1283,2,11,0.7,269.9,7.877,0.7461917,-0.968805,3,26,15,8,44,210000
"2018-03-26 15:08:52.43",25398,700010,122.9,12.97,64,44.7717,-165,-58.1294,2,11,0.7,269.7,7.993,0.746195,-0.9688233,3,26,15,8,51,750000
"2018-03-26 15:08:59.21",25399,700011,87.1,12.97,64,44.7721,-165,-58.1306,2,11,0.7,270.5,5.664,0.7462016,-0.9688434,3,26,15,8,58,530000
"2018-03-26 15:09:06.09",25400,700012,85.4,12.97,64,44.7725,-165,-58.1315,2,11,0.7,270.6,5.559,0.7462083,-0.9688584,3,26,15,9,5,410000
"2018-03-26 15:09:13.51",25401,700013,119.6,12.97,64,44.7729,-165,-58.1324,2,11,0.7,270.4,7.779,0.746215,-0.9688734,3,26,15,9,12,830000
"2018-03-26 15:09:22.22",25402,700014,123.1,12.97,64,44.7733,-165,-58.1334,2,11,0.7,269.9,8.01,0.7462217,-0.96889,3,26,15,9,21,540000
"2018-03-26 15:09:30.42",25403,700015,122.8,12.97,64,44.7738,-165,-58.1338,2,11,0.7,270.4,7.989,0.74623,-0.9688967,3,26,15,9,29,740000
"2018-03-26 15:09:38.02",25404,700016,125,12.97,64,44.7743,-165,-58.1353,2,11,0.7,270.9,8.13,0.7462383,-0.9689217,3,26,15,9,37,340000
"2018-03-26 15:09:49.13",25405,700017,129.8,12.97,64,44.7745,-165,-58.1359,2,11,0.7,270.5,8.45,0.7462417,-0.9689316,3,26,15,9,48,450000
"2018-03-26 15:09:57.1",25406,700018,126.9,12.97,64,44.7751,-165,-58.1368,2,10,0.8,270.1,8.25,0.7462517,-0.9689466,3,26,15,9,56,410000
"2018-03-26 15:10:05.26",25407,700019,129.8,12.96,64,44.7753,-165,-58.1377,2,11,0.7,269.6,8.45,0.746255,-0.9689617,3,26,15,10,4,580000
"2018-03-26 15:10:16.53",25408,700020,127.7,12.97,64,44.7755,-165,-58.1385,2,11,0.7,269.7,8.31,0.7462584,-0.968975,3,26,15,10,15,850000
"2018-03-26 15:10:25.98",25409,700021,119.1,12.97,64,44.7759,-165,-58.1394,2,11,0.7,269.6,7.746,0.746265,-0.96899,3,26,15,10,25,300000
"2018-03-26 15:10:34.99",25410,700022,119.5,12.96,64,44.7763,-165,-58.1404,2,11,0.7,269.4,7.775,0.7462717,-0.9690066,3,26,15,10,34,310000
"2018-03-26 15:10:43.07",25411,700023,124.3,12.97,64,44.7767,-165,-58.1415,2,11,0.7,269.1,8.09,0.7462783,-0.969025,3,26,15,10,42,390000
"2018-03-26 15:10:52.23",25412,700024,118.4,12.97,64,44.777,-165,-58.1427,2,11,0.7,268.4,7.702,0.7462834,-0.969045,3,26,15,10,51,550000
"2018-03-26 15:11:20.94",25413,700025,103.5,12.96,64,44.7773,-165,-58.1433,2,11,0.7,268.4,6.736,0.7462883,-0.969055,3,26,15,11,20,260000
"2018-03-26 15:11:28.02",25414,700026,117.3,12.96,64,44.7777,-165,-58.1443,2,11,0.7,268.6,7.633,0.746295,-0.9690716,3,26,15,11,27,340000
"2018-03-26 15:11:35.77",25415,700027,124.6,12.96,64,44.7782,-165,-58.1453,2,11,0.7,268.5,8.11,0.7463033,-0.9690884,3,26,15,11,35,80000
"2018-03-26 15:11:43.87",25416,700028,112.3,12.96,64,44.7787,-165,-58.1462,2,11,0.7,269.1,7.31,0.7463118,-0.9691033,3,26,15,11,43,190000
"2018-03-26 15:11:51.29",25417,700029,108.2,12.96,64,44.7791,-165,-58.147,2,11,0.7,269.5,7.041,0.7463183,-0.9691166,3,26,15,11,50,610000
"2018-03-26 15:12:00.06",25418,700030,117.6,12.96,64,44.7793,-165,-58.1457,2,11,0.7,269,7.651,0.7463217,-0.969095,3,26,15,11,59,380000
"2018-03-26 15:12:08.81",25419,700031,107.3,12.96,64,44.7794,-165,-58.1445,2,11,0.7,268.7,6.979,0.7463234,-0.969075,3,26,15,12,8,120000
"2018-03-26 15:12:19.23",25420,700032,125.5,12.96,64,44.7795,-165,-58.1433,2,11,0.7,268.5,8.17,0.746325,-0.969055,3,26,15,12,18,550000
"2018-03-26 15:12:28.13",25421,700033,125.9,12.96,64,44.7795,-165,-58.1416,2,11,0.7,268.7,8.19,0.746325,-0.9690267,3,26,15,12,27,450000
"2018-03-26 15:12:37.27",25422,700034,124,12.96,64,44.7796,-165,-58.1402,2,10,0.7,268.8,8.07,0.7463266,-0.9690034,3,26,15,12,36,590000
"2018-03-26 15:12:48.72",25423,700035,129.8,12.96,64,44.7796,-165,-58.1391,2,10,0.7,268.7,8.44,0.7463266,-0.968985,3,26,15,12,48,40000
"2018-03-26 15:12:59",25424,700036,129.7,12.96,64,44.7797,-165,-58.138,2,10,0.7,268.8,8.44,0.7463283,-0.9689666,3,26,15,12,58,320000
"2018-03-26 15:13:08.06",25425,700037,125.3,12.94,64,44.7797,-165,-58.1359,2,10,0.7,269.4,8.15,0.7463283,-0.9689316,3,26,15,13,7,380000
"2018-03-26 15:13:19.69",25426,700038,121.4,12.94,64,44.78,-165,-58.1352,2,10,0.7,269.7,7.898,0.7463333,-0.96892,3,26,15,13,19,10000
"2018-03-26 15:13:29.85",25427,700039,118.8,12.94,64,44.7799,-165,-58.1334,2,10,0.7,269.5,7.731,0.7463316,-0.96889,3,26,15,13,29,170000
"2018-03-26 15:13:37.45",25428,700040,104.2,12.95,64,44.7799,-165,-58.1329,2,10,0.7,269.2,6.779,0.7463316,-0.9688817,3,26,15,13,36,770000
"2018-03-26 15:13:43.76",25429,700041,97.8,12.94,64,44.78,-165,-58.1319,2,10,0.7,269.3,6.361,0.7463333,-0.968865,3,26,15,13,43,80000
"2018-03-26 15:13:53.93",25430,700042,86.5,12.94,64,44.78,-165,-58.1306,2,10,0.7,269.1,5.627,0.7463333,-0.9688434,3,26,15,13,53,250000
"2018-03-26 15:14:01.31",25431,700043,108.3,12.94,64,44.7801,-165,-58.1292,2,10,0.7,269.1,7.048,0.746335,-0.96882,3,26,15,14,0,630000
"2018-03-26 15:14:09.65",25432,700044,117.9,12.94,64,44.7801,-165,-58.1275,2,10,0.7,269.2,7.673,0.746335,-0.9687917,3,26,15,14,8,970000
"2018-03-26 15:14:21.29",25433,700045,106,12.95,64,44.7802,-165,-58.1261,2,10,0.7,269.1,6.899,0.7463367,-0.9687683,3,26,15,14,20,610000
"2018-03-26 15:14:30.11",25434,700046,107.4,12.94,64,44.7801,-165,-58.1248,2,10,0.7,268.6,6.99,0.746335,-0.9687467,3,26,15,14,29,420000
"2018-03-26 15:14:37.88",25435,700047,129.4,12.94,64,44.7803,-165,-58.1236,2,10,0.7,268.3,8.42,0.7463383,-0.9687267,3,26,15,14,37,200000
"2018-03-26 15:14:48.42",25436,700048,128.8,12.94,64,44.7801,-165,-58.1225,2,9,0.8,268.1,8.38,0.746335,-0.9687083,3,26,15,14,47,730000
"2018-03-26 15:14:55.96",25437,700049,128.1,12.94,64,44.7802,-165,-58.1213,2,9,0.8,268.1,8.33,0.7463367,-0.9686883,3,26,15,14,55,280000
"2018-03-26 15:15:15.12",25438,700050,129.8,12.94,64,44.7803,-165,-58.1201,2,10,0.7,268.2,8.45,0.7463383,-0.9686683,3,26,15,15,14,440000
"2018-03-26 15:17:12.56",25439,700051,129.8,12.93,64,44.7808,-165,-58.1179,2,11,0.7,267.8,8.44,0.7463466,-0.9686317,3,26,15,17,11,880000
"2018-03-26 15:17:40.96",25440,700052,129.9,12.93,64,44.7809,-165,-58.1159,2,11,0.7,267.6,8.45,0.7463483,-0.9685983,3,26,15,17,40,280000
"2018-03-26 15:18:06.88",25441,700053,110.2,12.93,64,44.7809,-165,-58.1153,2,11,0.7,267.9,7.171,0.7463483,-0.9685883,3,26,15,18,6,200000
"2018-03-26 15:18:18.93",25442,700054,129.8,12.93,64,44.7809,-165,-58.114,2,11,0.7,267.7,8.45,0.7463483,-0.9685666,3,26,15,18,18,250000
"2018-03-26 15:18:56.41",25443,700055,128.5,12.92,64,44.7809,-165,-58.1129,2,11,0.7,267.4,8.36,0.7463483,-0.9685483,3,26,15,18,55,730000
"2018-03-26 15:19:09.08",25444,700056,129.8,12.92,64,44.7807,-165,-58.1114,2,11,0.7,267.2,8.45,0.746345,-0.9685234,3,26,15,19,8,400000
"2018-03-26 15:19:52.31",25445,700057,127.4,12.92,64,44.7807,-165,-58.1104,2,11,0.7,267.3,8.29,0.746345,-0.9685067,3,26,15,19,51,630000
"2018-03-26 15:20:00.47",25446,700058,118,12.92,64,44.7805,-165,-58.1093,2,11,0.7,267.2,7.679,0.7463417,-0.9684883,3,26,15,19,59,790000
"2018-03-26 15:20:09.37",25447,700059,127.1,12.92,64,44.7805,-165,-58.1081,2,11,0.7,267.3,8.27,0.7463417,-0.9684684,3,26,15,20,8,690000
"2018-03-26 15:20:18.79",25448,700060,128.9,12.92,64,44.7806,-165,-58.1071,2,11,0.7,267.1,8.38,0.7463434,-0.9684517,3,26,15,20,18,110000
"2018-03-26 15:20:28.74",25449,700061,129.8,12.92,64,44.7803,-165,-58.1049,2,11,0.7,267.2,8.44,0.7463383,-0.968415,3,26,15,20,28,50000
"2018-03-26 15:21:47.81",25450,700062,125.1,12.91,64,44.7801,-165,-58.1064,2,11,0.7,267.4,8.14,0.746335,-0.96844,3,26,15,21,47,130000
"2018-03-26 15:21:58.66",25451,700063,116.8,12.92,64,44.7796,-165,-58.1074,2,11,0.7,267.5,7.599,0.7463266,-0.9684566,3,26,15,21,57,980000
"2018-03-26 15:22:06.74",25452,700064,127.5,12.92,64,44.7792,-165,-58.1081,2,11,0.7,268,8.29,0.74632,-0.9684684,3,26,15,22,6,60000
"2018-03-26 15:22:16.14",25453,700065,128.8,12.91,64,44.7787,-165,-58.109,2,11,0.7,268,8.38,0.7463118,-0.9684834,3,26,15,22,15,460000
"2018-03-26 15:22:24.69",25454,700066,119.9,12.92,64,44.7783,-165,-58.1097,2,12,0.7,268,7.799,0.746305,-0.968495,3,26,15,22,24,10000
"2018-03-26 15:22:34.02",25455,700067,87.6,12.91,64,44.778,-165,-58.1102,2,12,0.7,268,5.699,0.7463,-0.9685033,3,26,15,22,33,340000
"2018-03-26 15:22:41.76",25456,700068,119.9,12.91,64,44.7776,-165,-58.111,2,12,0.7,267.8,7.803,0.7462933,-0.9685166,3,26,15,22,41,80000
"2018-03-26 15:22:51.56",25457,700069,128.7,12.91,64,44.7772,-165,-58.112,2,12,0.7,267.4,8.37,0.7462866,-0.9685334,3,26,15,22,50,880000
"2018-03-26 15:23:02.12",25458,700070,125,12.91,64,44.7766,-165,-58.1128,2,11,0.7,267.1,8.13,0.7462766,-0.9685467,3,26,15,23,1,440000
"2018-03-26 15:23:12.08",25459,700071,129.8,12.91,64,44.7762,-165,-58.1135,2,12,0.7,267.2,8.45,0.74627,-0.9685583,3,26,15,23,11,400000
"2018-03-26 15:23:49.54",25460,700072,126.5,12.9,64,44.7758,-165,-58.1147,2,12,0.7,267.7,8.23,0.7462634,-0.9685783,3,26,15,23,48,860000
"2018-03-26 15:23:59.26",25461,700073,129.8,12.9,64,44.7757,-165,-58.1153,2,12,0.7,266.6,8.44,0.7462617,-0.9685883,3,26,15,23,58,580000
"2018-03-26 15:24:07.49",25462,700074,125.8,12.9,64,44.7751,-165,-58.1158,2,12,0.7,266.6,8.19,0.7462517,-0.9685966,3,26,15,24,6,810000
"2018-03-26 15:24:15.18",25463,700075,109.3,12.9,64,44.7745,-165,-58.1176,2,12,0.7,266.8,7.112,0.7462417,-0.9686266,3,26,15,24,14,500000
"2018-03-26 15:24:22.17",25464,700076,107.6,12.9,64,44.774,-165,-58.1181,2,12,0.7,267,7.003,0.7462333,-0.968635,3,26,15,24,21,490000
"2018-03-26 15:24:29.97",25465,700077,111.4,12.9,64,44.7734,-165,-58.1189,2,11,0.7,267,7.25,0.7462234,-0.9686483,3,26,15,24,29,280000
"2018-03-26 15:24:37.51",25466,700078,129.2,12.9,64,44.7731,-165,-58.1194,2,12,0.7,266.9,8.41,0.7462184,-0.9686566,3,26,15,24,36,830000
"2018-03-26 15:24:45.27",25467,700079,110,12.9,64,44.7727,-165,-58.1202,2,12,0.7,266.2,7.16,0.7462117,-0.96867,3,26,15,24,44,590000
"2018-03-26 15:24:52.39",25468,700080,106.7,12.9,64,44.7724,-165,-58.1208,2,12,0.7,266.3,6.945,0.7462066,-0.96868,3,26,15,24,51,710000
